# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00144.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.02250025,0.03
../results/00145.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.03,1e-06
../results/00146.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.03,0.00750075
../results/00147.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.03,0.015000499999999998
../results/00148.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.03,0.02250025
../results/00149.DAT,../macros_thermocalc/macro_3.tcm,0.0,0.00750075,1e-06,0.03,0.03
../results/00150.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,1e-06,1e-06
../results/00151.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,1e-06,0.00750075
../results/00152.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,1e-06,0.015000499999999998
../results/00153.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,1e-06,0.02250025
../results/00154.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,1e-06,0.03
../results/00155.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.00750075,1e-06
../results/00156.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.00750075,0.00750075
../results/00157.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.00750075,0.015000499999999998
../results/00158.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.00750075,0.02250025
../results/00159.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.00750075,0.03
../results/00160.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.015000499999999998,1e-06
../results/00161.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.015000499999999998,0.00750075
../results/00162.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.015000499999999998,0.015000499999999998
../results/00163.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.015000499999999998,0.02250025
../results/00164.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.015000499999999998,0.03
